team_abbr,primary_color,secondary_color
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ATL,#5C88DA,#FFA300
ATL,#5C88DA,#FFA300
ATL,#5C88DA,#FFA300
ATL,#5C88DA,#FFA300
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
