strength_state,WSBA G-xG,MoneyPuck G-xG,Compare
5v5,0.016167541202476092,0.011275220372184137,MoneyPuck
5v4,-0.003949515846608386,0.07229709435194255,WSBA
4v5,-0.003102704049557438,0.0012882794645772111,MoneyPuck
all,0.06018892381484187,0.048464903689193595,MoneyPuck
